Pos,Name,Time,Category (POS),Gender (POS),Swim,T1,Cycle,T2,Run,Bib,Category_pos,Gender_pos,Category,Gender
184,Vanessa PARRY-WILLIAMS ,10:41:47,45-49 (2),Female (25),01:08:22,00:05:59,05:38:33,00:03:43,03:45:09,#183,2,25,45-49,Female 
185,Heidi SOWERBY ,10:42:00,45-49 (3),Female (26),01:05:12,00:03:57,05:22:27,00:03:00,04:07:22,#152,3,26,45-49,Female 
186,Graeme FERGUSON ,10:42:28,55-59 (2),Male (160),01:17:12,00:04:55,05:22:03,00:03:40,03:54:35,#364,2,160,55-59,Male 
187,Thomas BAKER ,10:42:58,30-34 (23),Male (161),01:08:49,00:05:39,05:17:51,00:04:06,04:06:31,#511,23,161,30-34,Male 
188,Rajan THANANAYAGAM ,10:43:19,45-49 (32),Male (162),01:12:33,00:03:58,05:12:03,00:04:39,04:10:02,#245,32,162,45-49,Male 
189,Barry HARRINGTON ,10:44:03,35-39 (30),Male (163),01:12:18,00:06:38,05:31:33,00:05:06,03:48:26,#397,30,163,35-39,Male 
190,Richard ALCOCK ,10:44:10,40-44 (33),Male (164),01:11:14,00:06:07,05:33:58,00:04:32,03:48:16,#729,33,164,40-44,Male 
191,Martin KENNEDY ,10:45:09,50-54 (13),Male (165),01:27:38,00:06:28,05:21:07,00:06:37,03:43:16,#267,13,165,50-54,Male 
192,Jeremy RIGGALL ,10:45:58,40-44 (34),Male (166),01:19:24,00:04:49,05:21:14,00:04:42,03:55:48,#178,34,166,40-44,Male 
193,Clinton MILLAR ,10:46:03,35-39 (31),Male (167),01:06:33,00:05:08,05:30:49,00:03:10,04:00:21,#663,31,167,35-39,Male 
194,Annette EASTWOOD ,10:46:05,35-39 (5),Female (27),00:59:39,00:03:57,06:03:38,00:02:48,03:36:01,#139,5,27,35-39,Female 
195,Wayne BUCKLEY ,10:46:17,35-39 (32),Male (168),01:03:51,00:03:10,04:57:35,00:04:16,04:37:22,#616,32,168,35-39,Male 
196,Tamas KISS ,10:46:26,35-39 (33),Male (169),01:08:21,00:06:30,05:35:20,00:06:27,03:49:46,#647,33,169,35-39,Male 
197,David ARNOLD ,10:46:32,55-59 (3),Male (170),01:05:34,00:06:00,05:21:37,00:03:20,04:10:00,#182,3,170,55-59,Male 
198,Owen PERROTT ,10:46:34,40-44 (35),Male (171),01:18:14,00:10:15,05:09:00,00:04:47,04:04:17,#285,35,171,40-44,Male 
199,Brenton JOHNSTON ,10:46:46,50-54 (14),Male (172),01:15:08,00:03:56,05:20:01,00:03:11,04:04:28,#1041,14,172,50-54,Male 
200,Motoeki KOBAYASHI ,10:46:49,40-44 (36),Male (173),01:27:36,00:06:34,05:08:08,00:05:02,03:59:28,#768,36,173,40-44,Male 
201,Craig PRIOR ,10:47:24,45-49 (33),Male (174),01:07:07,00:03:48,05:23:13,00:03:31,04:09:42,#317,33,174,45-49,Male 
202,David BOYES ,10:47:43,55-59 (4),Male (175),01:04:36,00:03:11,05:10:16,00:03:01,04:26:37,#14001,4,175,55-59,Male 
203,Mick GEARY ,10:47:55,40-44 (37),Male (176),01:01:39,00:05:24,05:15:43,00:06:04,04:19:03,#211,37,176,40-44,Male 
204,Takashi MAKINO ,10:48:10,45-49 (34),Male (177),01:15:59,00:04:25,05:32:33,00:03:46,03:51:25,#922,34,177,45-49,Male 
205,Alexander BRAUN ,10:48:12,35-39 (34),Male (178),01:07:50,00:05:15,05:18:34,00:04:24,04:12:07,#613,34,178,35-39,Male 
206,Markus SCHAEFER ,10:48:23,30-34 (24),Male (179),01:14:03,00:06:09,05:35:27,00:05:20,03:47:22,#569,24,179,30-34,Male 
207,Jason ROSE ,10:48:28,45-49 (35),Male (180),01:01:41,00:06:04,05:13:41,00:08:55,04:18:05,#251,35,180,45-49,Male 
208,Kevin INCA ,10:48:31,30-34 (25),Male (181),01:18:44,00:05:10,05:18:40,00:03:59,04:01:56,#542,25,181,30-34,Male 
209,Ross SKELTON ,10:48:58,40-44 (38),Male (182),01:17:16,00:05:21,05:24:47,00:05:03,03:56:29,#391,38,182,40-44,Male 
210,Paul COOPER ,10:49:02,45-49 (36),Male (183),01:07:51,00:08:28,05:16:58,00:06:41,04:09:01,#873,36,183,45-49,Male 
211,Regina WEEDON ,10:49:40,40-44 (4),Female (28),01:01:17,00:04:05,05:39:58,00:02:28,04:01:50,#854,4,28,40-44,Female 
212,Christie PETERS ,10:49:40,40-44 (5),Female (29),01:04:13,00:04:01,05:44:33,00:03:51,03:53:00,#848,5,29,40-44,Female 
213,Tony FLANDERS ,10:49:41,40-44 (39),Male (184),01:11:54,00:07:02,05:09:30,00:03:32,04:17:41,#209,39,184,40-44,Male 
214,Matt BOTT ,10:49:52,45-49 (37),Male (185),01:09:52,00:07:10,05:14:53,00:06:59,04:10:57,#386,37,185,45-49,Male 
215,James MCCLEERY ,10:50:21,35-39 (35),Male (186),01:15:41,00:05:11,05:21:01,00:04:09,04:04:17,#660,35,186,35-39,Male 
216,Jack MURPHY ,10:50:39,25-29 (17),Male (187),01:07:33,00:05:48,05:08:44,00:04:39,04:23:53,#295,17,187,25-29,Male 
217,Jay WESTON ,10:50:57,35-39 (36),Male (188),01:15:34,00:04:17,05:21:41,00:03:38,04:05:44,#701,36,188,35-39,Male 
218,Edward BLANDTHORN ,10:51:09,25-29 (18),Male (189),01:06:08,00:05:00,05:09:28,00:03:11,04:27:21,#445,18,189,25-29,Male 
219,Vincent TREMAINE ,10:51:15,60-64 (1),Male (190),01:06:07,00:03:35,05:23:57,00:03:17,04:14:17,#1157,1,190,60-64,Male 
220,Kate LAHART ,10:51:54,30-34 (6),Female (30),01:07:24,00:03:50,05:36:56,00:03:49,03:59:53,#175,6,30,30-34,Female 
221,Phill PFENNIG ,10:52:09,45-49 (38),Male (191),01:01:25,00:03:55,05:01:34,00:02:42,04:42:31,#148,38,191,45-49,Male 
222,Alex HAWTIN ,10:52:13,25-29 (19),Male (192),01:06:54,00:04:28,05:34:32,00:02:13,04:04:04,#459,19,192,25-29,Male 
223,Rob CHAPMAN ,10:52:41,45-49 (39),Male (193),01:04:34,00:05:15,05:23:17,00:03:17,04:16:16,#385,39,193,45-49,Male 
224,Michael SCOTT ,10:53:04,40-44 (40),Male (194),00:58:27,00:04:21,05:24:52,00:05:20,04:20:02,#289,40,194,40-44,Male 
225,Milan KUCERA ,10:54:00,45-49 (40),Male (195),01:13:59,00:09:08,05:54:51,00:04:32,03:31:28,#916,40,195,45-49,Male 
226,Kristy MUIR ,10:54:10,40-44 (6),Female (31),01:07:55,00:03:35,05:21:14,00:04:24,04:17:00,#847,6,31,40-44,Female 
227,Weizhen ZHANG ,10:54:13,30-34 (26),Male (196),01:19:47,00:05:05,05:30:34,00:04:04,03:54:41,Nero,26,196,30-34,Male 
228,Jackson PITMAN ,10:54:22,25-29 (20),Male (197),01:11:53,00:07:55,05:42:29,00:03:42,03:48:21,#480,20,197,25-29,Male 
229,Greg ARGENT ,10:55:09,50-54 (15),Male (198),01:08:24,00:06:58,05:15:01,00:05:40,04:19:03,#392,15,198,50-54,Male 
230,Craig STOCKS ,10:55:13,50-54 (16),Male (199),01:00:59,00:05:39,05:25:23,00:03:26,04:19:43,#154,16,199,50-54,Male 
231,June WARD ,10:55:25,55-59 (1),Female (32),01:12:11,00:04:25,05:45:02,00:02:57,03:50:49,#133,1,32,55-59,Female 
232,Brad COURSE ,10:55:57,45-49 (41),Male (200),01:10:05,00:04:28,05:15:22,00:05:25,04:20:34,#874,41,200,45-49,Male 
233,Michael HALL ,10:56:09,35-39 (37),Male (201),01:21:21,00:07:37,05:34:29,00:06:13,03:46:27,#638,37,201,35-39,Male 
234,Chris CLELAND ,10:56:45,18-24 (7),Male (202),01:05:17,00:05:52,05:32:31,00:04:06,04:08:57,#425,7,202,18-24,Male 
235,Greg MAUGHAN ,10:56:47,50-54 (17),Male (203),01:01:56,00:05:35,05:16:47,00:07:04,04:25:24,#1046,17,203,50-54,Male 
236,John HALLIS ,10:57:12,55-59 (5),Male (204),01:12:55,00:04:34,05:15:27,00:03:49,04:20:24,#191,5,204,55-59,Male 
237,Alex WILLIAMS ,10:57:24,25-29 (21),Male (205),01:05:19,00:05:16,05:33:18,00:04:23,04:09:07,#487,21,205,25-29,Male 
238,Mikko NURMELA ,10:57:34,25-29 (22),Male (206),01:22:45,00:06:08,05:29:44,00:02:55,03:56:00,#478,22,206,25-29,Male 
239,Peter COOMBE ,10:57:50,45-49 (42),Male (207),00:54:40,00:04:28,05:05:45,00:06:19,04:46:37,#314,42,207,45-49,Male 
240,Leigh WARD ,10:57:50,45-49 (43),Male (208),01:01:03,00:04:52,05:25:11,00:03:34,04:23:08,#1210,43,208,45-49,Male 
241,Aiden HEKE ,10:58:03,45-49 (44),Male (209),01:10:54,00:05:04,05:25:48,00:04:40,04:11:35,#897,44,209,45-49,Male 
242,Nicole LARCOMBE ,10:58:08,40-44 (7),Female (33),01:09:42,00:07:19,05:39:53,00:05:50,03:55:22,#843,7,33,40-44,Female 
243,Tom RIDSDILL-SMITH ,10:59:14,40-44 (41),Male (210),00:59:25,00:05:23,05:37:19,00:06:25,04:10:41,#390,41,210,40-44,Male 
244,Steven CARRICK ,10:59:26,50-54 (18),Male (211),01:08:25,00:04:39,05:15:40,00:05:47,04:24:54,#328,18,211,50-54,Male 
245,Brett MCCRAE ,10:59:34,25-29 (23),Male (212),01:09:50,00:04:23,05:24:05,00:05:21,04:15:52,#472,23,212,25-29,Male 
246,Carl BUCKLAND ,10:59:44,45-49 (45),Male (213),01:04:03,00:05:33,05:37:07,00:07:41,04:05:17,#219,45,213,45-49,Male 
247,Shelley BARNES ,11:00:40,35-39 (6),Female (34),00:56:59,00:03:50,06:00:15,00:04:35,03:54:59,#707,6,34,35-39,Female 
248,Kevin HAMMOND ,11:00:55,40-44 (42),Male (214),01:06:01,00:06:03,05:17:03,00:10:30,04:21:15,#231,42,214,40-44,Male 
249,Sam MARSHALL ,11:01:01,25-29 (24),Male (215),01:07:43,00:05:35,05:27:51,00:04:36,04:15:15,#471,24,215,25-29,Male 
250,Rob HERKES ,11:01:11,40-44 (43),Male (216),00:57:35,00:04:43,05:44:29,00:03:24,04:10:58,#760,43,216,40-44,Male 
251,Kevin DAVIS ,11:01:26,45-49 (46),Male (217),01:13:22,00:07:41,05:29:17,00:05:52,04:05:12,#876,46,217,45-49,Male 
252,Mathieu LESAVRE ,11:01:57,30-34 (27),Male (218),01:07:51,00:03:54,05:27:55,00:04:07,04:18:07,#1194,27,218,30-34,Male 
253,David BAKER ,11:01:58,40-44 (44),Male (219),01:02:59,00:08:12,05:38:19,00:06:06,04:06:20,#732,44,219,40-44,Male 
254,Jude MILLARD ,11:02:32,35-39 (7),Female (35),01:28:11,00:04:52,05:28:08,00:03:32,03:57:48,#174,7,35,35-39,Female 
255,Jack DICKENS ,11:02:44,25-29 (25),Male (220),01:06:14,00:04:08,05:05:20,00:03:08,04:43:52,#380,25,220,25-29,Male 
256,Leon STAUDE ,11:03:14,45-49 (47),Male (221),00:58:12,00:04:25,05:12:16,00:03:30,04:44:50,#959,47,221,45-49,Male 
257,Ingit ANAND ,11:04:24,30-34 (28),Male (222),01:13:19,00:07:14,05:39:19,00:06:55,03:57:36,#510,28,222,30-34,Male 
258,Lisa HITCHCOCK ,11:05:46,50-54 (1),Female (36),01:16:49,00:04:09,05:32:22,00:04:15,04:08:09,#169,1,36,50-54,Female 
259,Christian SAILER ,11:06:01,35-39 (38),Male (223),01:04:48,00:05:26,05:15:40,00:07:00,04:33:04,#407,38,223,35-39,Male 
260,Shane CLARKE ,11:06:10,45-49 (48),Male (224),01:21:19,00:04:50,05:02:24,00:03:58,04:33:37,#14002,48,224,45-49,Male 
261,Henk DIEDERICHS ,11:06:21,40-44 (45),Male (225),01:09:28,00:06:33,05:32:08,00:05:08,04:13:02,#750,45,225,40-44,Male 
262,Michael BOFFA ,11:06:48,25-29 (26),Male (226),01:26:19,00:05:24,05:18:34,00:05:44,04:10:46,#446,26,226,25-29,Male 
263,A Russell TREMAYNE ,11:07:20,55-59 (6),Male (227),01:19:47,00:05:39,05:35:25,00:08:28,03:58:00,#11027,6,227,55-59,Male 
264,Andrew BAILEY ,11:07:44,25-29 (27),Male (228),01:08:24,00:06:36,05:08:41,00:07:52,04:36:09,#443,27,228,25-29,Male 
265,Melanie HILL ,11:07:49,30-34 (7),Female (37),01:04:25,00:04:30,05:28:29,00:02:25,04:27:58,#1188,7,37,30-34,Female 
266,Ryan WILLMOT ,11:07:53,30-34 (29),Male (229),01:06:47,00:05:41,05:14:46,00:07:21,04:33:17,#585,29,229,30-34,Male 
267,Joel HAMILTON ,11:07:58,25-29 (28),Male (230),01:06:35,00:06:19,05:28:47,00:04:28,04:21:47,#1186,28,230,25-29,Male 
268,Stefan LEE ,11:08:30,25-29 (29),Male (231),00:54:10,00:06:18,05:35:20,00:06:00,04:26:40,#466,29,231,25-29,Male 
269,Ryan GUDILOS ,11:09:34,35-39 (39),Male (232),01:08:23,00:05:07,05:20:42,00:05:56,04:29:24,#635,39,232,35-39,Male 
270,Karen SHAW ,11:09:43,35-39 (8),Female (38),01:19:22,00:04:51,05:28:36,00:03:35,04:13:18,#1203,8,38,35-39,Female 
271,Jennifer GIBBONS ,11:09:49,35-39 (9),Female (39),01:09:24,00:06:26,05:43:01,00:06:39,04:04:17,#714,9,39,35-39,Female 
272,Tomas VALENA ,11:10:12,65-69 (1),Male (233),01:21:22,00:05:43,05:44:05,00:03:37,03:55:23,#141,1,233,65-69,Male 
273,Marshall SCOTT ,11:10:35,40-44 (46),Male (234),00:59:23,00:02:56,04:58:52,00:04:07,05:05:16,#286,46,234,40-44,Male 
274,Stephen BEST ,11:10:47,45-49 (49),Male (235),01:06:29,00:11:28,05:29:34,00:07:08,04:16:06,#146,49,235,45-49,Male 
275,Sian MORRIS ,11:10:48,45-49 (4),Female (40),01:07:37,00:06:18,05:42:21,00:04:08,04:10:22,#262,4,40,45-49,Female 
276,Tiffany KITCHIN ,11:11:32,35-39 (10),Female (41),01:05:27,00:03:58,05:35:39,00:02:51,04:23:35,#717,10,41,35-39,Female 
277,Cam KERR ,11:12:00,45-49 (50),Male (236),01:10:52,00:05:10,05:43:16,00:03:32,04:09:07,#220,50,236,45-49,Male 
278,Alexandra MEEK ,11:13:40,30-34 (8),Female (42),01:10:44,00:05:27,05:38:48,00:06:59,04:11:40,#600,8,42,30-34,Female 
279,Daniel SLY ,11:13:41,35-39 (40),Male (237),01:06:31,00:06:45,05:28:48,00:04:29,04:27:07,#688,40,237,35-39,Male 
280,Katherine HINDLE ,11:14:20,25-29 (4),Female (43),01:09:48,00:03:36,05:40:28,00:05:52,04:14:34,#500,4,43,25-29,Female 
281,Mick BRAY ,11:14:31,50-54 (19),Male (238),01:09:45,00:05:00,05:35:08,00:03:31,04:21:05,#12024,19,238,50-54,Male 
282,Felipe PASSETTI DE MOURA ,11:14:40,35-39 (41),Male (239),01:01:29,00:03:44,05:04:22,00:04:19,05:00:43,#404,41,239,35-39,Male 
283,Tyson MANN ,11:15:09,40-44 (47),Male (240),01:14:55,00:06:36,05:29:07,00:05:52,04:18:37,#775,47,240,40-44,Male 
284,Kristin TRAPPITT ,11:15:27,35-39 (42),Male (241),01:13:14,00:06:47,05:42:35,00:04:58,04:07:50,#696,42,241,35-39,Male 
285,Mark KIMBER ,11:15:30,35-39 (43),Male (242),01:13:43,00:04:46,05:16:57,00:06:40,04:33:21,#644,43,242,35-39,Male 
286,Adam BARBALET ,11:15:33,30-34 (30),Male (243),01:17:53,00:05:24,05:27:19,00:03:46,04:21:10,#512,30,243,30-34,Male 
287,Dean O'BRIEN ,11:16:00,40-44 (48),Male (244),01:09:00,00:03:47,05:15:52,00:03:06,04:44:13,#788,48,244,40-44,Male 
288,Glenn PESICH ,11:17:04,40-44 (49),Male (245),01:11:28,00:05:53,05:29:50,00:06:24,04:23:26,#1212,49,245,40-44,Male 
289,Ben MCDERMID ,11:17:15,45-49 (51),Male (246),01:04:41,00:04:44,05:34:24,00:04:01,04:29:23,#10033,51,246,45-49,Male 
290,Andy DISLEY ,11:17:33,45-49 (52),Male (247),01:00:48,00:05:20,05:18:15,00:08:48,04:44:20,#880,52,247,45-49,Male 
291,Jeffrey PETERS ,11:18:10,55-59 (7),Male (248),01:05:13,00:04:59,05:25:46,00:03:01,04:39:09,#1122,7,248,55-59,Male 
292,Renee GOODALL ,11:18:12,40-44 (8),Female (44),01:09:38,00:04:44,05:49:19,00:03:23,04:11:06,#1183,8,44,40-44,Female 
293,Jason CLENNICK ,11:18:44,45-49 (53),Male (249),01:14:50,00:09:05,05:37:23,00:08:15,04:09:08,#870,53,249,45-49,Male 
294,Grant BLUCH ,11:19:27,30-34 (31),Male (250),01:24:57,00:04:23,05:23:28,00:04:46,04:21:52,#513,31,250,30-34,Male 
295,Yuga MIYAKI ,11:19:35,18-24 (8),Male (251),01:04:56,00:05:28,05:47:13,00:04:16,04:17:42,#366,8,251,18-24,Male 
296,Ryan MILROY ,11:19:42,30-34 (32),Male (252),01:10:23,00:05:47,05:17:36,00:03:54,04:42:01,#239,32,252,30-34,Male 
297,Mandy TOWLER ,11:20:09,50-54 (2),Female (45),01:11:22,00:05:39,05:50:31,00:06:27,04:06:08,#170,2,45,50-54,Female 
298,Sergio Bautista VALLEJOS PIEROTIC ,11:20:11,30-34 (33),Male (253),01:05:59,00:04:27,05:27:30,00:05:43,04:36:31,#582,33,253,30-34,Male 
299,Tamara MADDEN ,11:20:21,45-49 (5),Female (46),01:25:23,00:10:19,06:01:46,00:04:34,03:38:18,#1002,5,46,45-49,Female 
300,Troy SHORTLAND ,11:20:21,45-49 (54),Male (254),01:05:29,00:04:43,05:22:28,00:05:58,04:41:42,#409,54,254,45-49,Male 
301,Garry MILLS ,11:20:33,45-49 (55),Male (255),01:12:53,00:05:58,05:46:04,00:03:19,04:12:17,#932,55,255,45-49,Male 
302,Andrew FOX ,11:21:37,50-54 (20),Male (256),01:05:02,00:05:09,05:33:06,00:05:11,04:33:08,#237,20,256,50-54,Male 
303,David BRACKSTONE ,11:21:53,40-44 (50),Male (257),01:02:44,00:04:39,05:32:11,00:04:37,04:37:39,#735,50,257,40-44,Male 
304,Alan TIDY ,11:21:54,55-59 (8),Male (258),01:19:03,00:05:48,05:18:36,00:04:12,04:34:12,#273,8,258,55-59,Male 
305,Graham TEDOLDI ,11:21:55,55-59 (9),Male (259),01:03:15,00:04:35,05:38:02,00:06:54,04:29:06,#134,9,259,55-59,Male 
306,Stephen TILDERS ,11:21:59,45-49 (56),Male (260),01:12:22,00:06:10,05:28:53,00:06:24,04:28:08,#965,56,260,45-49,Male 
307,Kent DREDGE ,11:22:13,50-54 (21),Male (261),01:13:57,00:05:44,05:51:10,00:06:11,04:05:09,#197,21,261,50-54,Male 
308,Charlie ELDERS ,11:22:22,50-54 (22),Male (262),01:14:17,00:07:49,05:35:13,00:07:17,04:17:44,#1031,22,262,50-54,Male 
309,Hiroki SHIRAISHI ,11:22:47,45-49 (57),Male (263),01:12:56,00:06:34,05:33:14,00:06:59,04:23:01,#956,57,263,45-49,Male 
310,Damian FLETCHER ,11:22:49,25-29 (30),Male (264),01:21:01,00:05:16,05:50:56,00:03:02,04:02:33,#454,30,264,25-29,Male 
311,Eduardo OLIVEIRA ,11:22:56,35-39 (44),Male (265),01:00:35,00:05:51,05:30:56,00:05:02,04:40:29,#670,44,265,35-39,Male 
312,Jeremy NEWMAN ,11:23:01,30-34 (34),Male (266),01:01:15,00:07:42,05:46:07,00:09:04,04:18:50,#557,34,266,30-34,Male 
313,Lachlan STEWART ,11:23:11,25-29 (31),Male (267),01:19:10,00:05:47,05:58:09,00:04:16,03:55:47,#310,31,267,25-29,Male 
314,Joel CULLEN ,11:23:42,35-39 (45),Male (268),01:15:10,00:07:12,05:25:23,00:05:22,04:30:33,#359,45,268,35-39,Male 
315,Christopher NYBOM ,11:24:23,30-34 (35),Male (269),01:17:38,00:04:58,05:12:54,00:03:00,04:45:51,#368,35,269,30-34,Male 
316,Geoffrey STUTSEL ,11:25:06,50-54 (23),Male (270),01:13:41,00:04:19,05:31:07,00:03:52,04:32:05,#1063,23,270,50-54,Male 
317,Shayne LE ROY ,11:25:25,45-49 (58),Male (271),01:13:55,00:07:37,05:15:52,00:06:17,04:41:42,#319,58,271,45-49,Male 
318,Jonathan GRAY ,11:25:34,35-39 (46),Male (272),01:08:51,00:06:53,05:31:59,00:05:16,04:32:34,#634,46,272,35-39,Male 
319,Greg CAMPBELL ,11:26:18,45-49 (59),Male (273),01:35:08,00:06:53,05:45:12,00:07:52,03:51:11,#868,59,273,45-49,Male 
320,Grant BARR ,11:26:22,50-54 (24),Male (274),01:16:54,00:08:58,05:37:31,00:05:43,04:17:14,#1016,24,274,50-54,Male 
321,Teck Meng LIM ,11:26:22,45-49 (60),Male (275),01:22:23,00:07:24,05:36:27,00:07:13,04:12:54,#349,60,275,45-49,Male 
322,Glen KEAST ,11:26:24,45-49 (61),Male (276),01:11:28,00:05:53,05:43:34,00:11:21,04:14:06,#908,61,276,45-49,Male 
323,Claire SLATER ,11:26:37,40-44 (9),Female (47),01:17:01,00:05:29,05:38:03,00:03:28,04:22:34,#851,9,47,40-44,Female 
324,Kirsten GILLESPIE ,11:26:49,45-49 (6),Female (48),01:10:23,00:05:24,05:46:58,00:02:45,04:21:17,#337,6,48,45-49,Female 
325,Michael JAMIESON ,11:26:52,30-34 (36),Male (277),01:03:24,00:12:15,05:40:36,00:09:01,04:21:34,#322,36,277,30-34,Male 
326,Scott DENNETT ,11:27:12,45-49 (62),Male (278),01:05:41,00:08:25,05:55:47,00:07:12,04:10:06,#879,62,278,45-49,Male 
327,Clayton WILLIAMS ,11:27:14,45-49 (63),Male (279),00:57:59,00:05:56,05:30:06,00:06:27,04:46:44,#973,63,279,45-49,Male 
328,Tony FULTON ,11:27:24,50-54 (25),Male (280),01:09:24,00:06:48,05:48:09,00:05:13,04:17:48,#1032,25,280,50-54,Male 
329,Clinton SCHROEDER ,11:27:36,40-44 (51),Male (281),01:09:41,00:06:29,05:39:15,00:05:11,04:26:59,#805,51,281,40-44,Male 
330,Raoul OEHMEN ,11:27:53,30-34 (37),Male (282),01:10:47,00:05:05,05:37:41,00:13:41,04:20:37,#558,37,282,30-34,Male 
331,Catherine BEESON ,11:28:17,45-49 (7),Female (49),01:15:45,00:04:39,05:48:15,00:02:30,04:17:06,#297,7,49,45-49,Female 
332,Jamie LAURITSEN ,11:28:19,35-39 (47),Male (283),01:04:55,00:06:31,05:25:37,00:05:10,04:46:04,#650,47,283,35-39,Male 
333,Jarred HOFFMANN ,11:29:23,25-29 (32),Male (284),01:11:01,00:05:50,05:27:38,00:04:17,04:40:35,#461,32,284,25-29,Male 
334,Kaupo JANSEN ,11:29:24,40-44 (52),Male (285),01:15:33,00:05:21,05:24:23,00:06:07,04:37:58,#374,52,285,40-44,Male 
335,Rebecca SMITH ,11:29:37,55-59 (2),Female (50),01:06:31,00:05:17,05:53:02,00:03:24,04:21:21,#1145,2,50,55-59,Female 
336,Ida STERNBRO ,11:30:20,30-34 (9),Female (51),01:16:41,00:04:00,05:51:24,00:03:13,04:14:59,#606,9,51,30-34,Female 
337,Nigel TRAVERS ,11:30:45,40-44 (53),Male (286),01:06:33,00:09:27,05:40:00,00:06:23,04:28:19,#334,53,286,40-44,Male 
338,Sam MICHEL ,11:30:58,25-29 (33),Male (287),01:05:34,00:05:02,05:23:18,00:05:01,04:52:01,#473,33,287,25-29,Male 
339,Bede STANLEY ,11:31:14,45-49 (64),Male (288),01:12:16,00:08:19,05:30:15,00:09:09,04:31:13,#958,64,288,45-49,Male 
340,Chaiwat VINYUNUNTHAKUL ,11:31:32,35-39 (48),Male (289),01:13:47,00:04:57,05:30:25,00:03:03,04:39:17,#697,48,289,35-39,Male 
341,Caleb GRAY ,11:32:06,25-29 (34),Male (290),01:11:59,00:05:54,05:52:39,00:05:25,04:16:07,#457,34,290,25-29,Male 
342,Maria PITMAN ,11:32:26,45-49 (8),Female (52),01:03:50,00:03:26,05:59:58,00:04:33,04:20:37,#1006,8,52,45-49,Female 
343,Darryl HARRIS ,11:32:45,55-59 (10),Male (291),00:59:57,00:04:40,05:29:48,00:08:36,04:49:42,#201,10,291,55-59,Male 
344,Emma CONWAY ,11:32:58,40-44 (10),Female (53),01:20:01,00:04:14,05:23:25,00:04:08,04:41:07,#393,10,53,40-44,Female 
345,Chris GOGLER ,11:33:23,35-39 (49),Male (292),01:10:45,00:04:45,05:13:34,00:04:02,05:00:15,#633,49,292,35-39,Male 
346,Travis GEORGE ,11:33:46,40-44 (54),Male (293),01:07:26,00:04:22,05:42:47,00:05:22,04:33:48,#756,54,293,40-44,Male 
347,Jessica KNIGHT ,11:33:54,18-24 (1),Female (54),01:10:34,00:04:49,05:49:45,00:02:58,04:25:46,#325,1,54,18-24,Female 
348,Jon IRONS ,11:34:04,55-59 (11),Male (294),01:03:27,00:05:33,05:25:33,00:03:24,04:56:04,#344,11,294,55-59,Male 
349,Sven SCHMITT ,11:34:19,40-44 (55),Male (295),01:13:31,00:04:24,05:21:00,00:03:38,04:51:45,#803,55,295,40-44,Male 
350,Maria Fernanda POVEDA FRANCO ,11:34:39,40-44 (11),Female (55),01:15:22,00:08:15,05:42:40,00:04:18,04:24:02,#232,11,55,40-44,Female 
351,Garrett MCDULING ,11:34:56,35-39 (50),Male (296),01:10:26,00:05:14,05:32:29,00:08:18,04:38:27,#661,50,296,35-39,Male 
352,Damian STRIDE ,11:35:02,35-39 (51),Male (297),01:11:12,00:05:28,05:37:30,00:03:37,04:37:13,#692,51,297,35-39,Male 
353,Zheng WANG ,11:35:12,40-44 (56),Male (298),01:25:11,00:06:40,05:28:52,00:07:24,04:27:03,#347,56,298,40-44,Male 
354,Jason GEIKIE ,11:35:15,40-44 (57),Male (299),01:02:46,00:05:03,05:24:32,00:05:42,04:57:09,#755,57,299,40-44,Male 
355,Ian MOSSENSON ,11:35:50,65-69 (2),Male (300),01:10:24,00:07:59,05:53:50,00:08:35,04:15:00,#164,2,300,65-69,Male 
356,Mark PAGE ,11:36:21,35-39 (52),Male (301),01:04:56,00:04:43,05:24:33,00:04:07,04:58:01,#672,52,301,35-39,Male 
357,Julie LANGLANDS ,11:36:29,40-44 (12),Female (56),01:27:38,00:05:46,05:37:31,00:04:23,04:21:10,#842,12,56,40-44,Female 
358,Bruce YOUNG ,11:36:30,40-44 (58),Male (302),01:18:30,00:08:44,05:46:03,00:06:36,04:16:35,#828,58,302,40-44,Male 
359,Natasha PERTWEE ,11:37:01,45-49 (9),Female (57),01:15:22,00:05:48,05:46:02,00:05:49,04:23:57,#1005,9,57,45-49,Female 
360,Yip Chun FUNG ,11:37:02,30-34 (38),Male (303),01:06:42,00:03:54,05:11:14,00:04:38,05:10:32,#338,38,303,30-34,Male 
361,Justin HUMBER ,11:37:14,35-39 (53),Male (304),01:09:13,00:07:04,05:38:41,00:08:24,04:33:51,#640,53,304,35-39,Male 
362,Stuart WILSON ,11:38:05,50-54 (26),Male (305),01:13:25,00:04:29,05:44:16,00:04:10,04:31:43,#1072,26,305,50-54,Male 
363,Andrew ROOKE ,11:38:34,45-49 (65),Male (306),01:07:41,00:07:30,05:47:52,00:06:53,04:28:36,#950,65,306,45-49,Male 
364,Jacques COETZEE ,11:38:47,30-34 (39),Male (307),01:14:24,00:07:54,05:55:06,00:05:05,04:16:15,#520,39,307,30-34,Male 
365,Craig COTTER ,11:39:15,40-44 (59),Male (308),01:12:05,00:05:52,05:30:19,00:06:20,04:44:37,#744,59,308,40-44,Male 
